rank,shobi_code,inspired_by,brand,gender,season,note_count,main_5_notes,fragrantica_url,name_ok,brand_ok,gender_ok,season_ok,notes5_ok,fragrantica_ok,complete_core,status
73,1887-XER N,ERBA PURA,Xerjoff,unisex,,7,Lemon|Calabrian Bergamot|Sicilian Orange|Mediterranean Fruit|Amber,https://www.xerjoff.com/en-exteu/products/erba-pura-eau-de-parfum,1,1,1,0,1,1,0,MISSING:season
74,506-CHA W,of COCON MADEM,Chanel,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
75,210-CRD EL,GREEN IRISH TWEED,Creed,unisex,,12,Peppermint|Verbena|Lemon|Bergamot|Galbanum,https://creedboutique.com/products/green-irish-tweed,1,1,1,0,1,1,0,MISSING:season
76,268-JOM EL,MYRRH & TONKA - JO MALONE,Jo Malone London,unisex,,0,,https://www.fragrantica.com/perfume/jo-malone-london/myrrh-tonka-42027.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
77,1112-DSQ MP,HE WOOD ROCKY MOUNTAIN,Dsquared²,men,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
78,879-PRA WP,INFUSION D'IRIS - PRADA,Prada,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
79,2167-GUL MP,LE MALE ELIXIR,Jean Paul Gaultier,men,,7,Lavender|Mint|Benzoin|Vanilla|Honey,https://thescentbase.com/it/perfumes/jean-paul-gaultier/le-male-elixir,1,1,1,0,1,1,0,MISSING:season
80,513-CHL WP,LOVE - CHLOE,Chloé,women,,0,,https://www.fragrantica.com/perfume/chloe/love-9370.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
81,1737-GIV W,L INTERDIT ROUGE EDP,Givenchy,women,,0,,,1,1,1,0,0,0,0,"MISSING:season,notes5,fragrantica"
82,1513-KIL WP,PRINCESS - KILIAN PERFUME,Kilian Paris,women,,0,,https://www.fragrantica.com/perfume/vera-wang/princess-1596.html,1,1,1,0,0,1,0,"MISSING:season,notes5"
